-6.353067,42.09974;-45.73671,94.78004
-7.342292,49.17404;-2.194114,129.2863
-5.801866,58.20632;39.31969,161.0088
-1.452594,68.45853;88.74591,175.7603
1.314007,66.66776;38.7319,-51.05894
3.520347,66.0159;35.84072,8.716633
7.143909,68.2003;72.48046,49.98612
10.11951,66.01317;38.44709,-49.3035
10.88818,61.38025;0.3032954,-90.93791
9.17494,55.81481;-42.67947,-93.7118
6.344087,51.80734;-49.39779,-53.66253
3.974761,50.21742;-34.65928,-13.25548
0.4061543,50.3863;-71.69382,10.66089
-1.945117,52.49924;-23.35658,47.22476
-5.539587,54.72953;-77.83874,32.31437
-11.84753,57.98196;-118.5594,64.95375
-17.90905,63.90214;-92.49539,115.2082
-20.46475,66.28326;-87.28834,52.03199
-25.90529,66.92722;-100.8361,-8.02364
-32.00607,64.91392;-116.1714,-48.96427
-29.05821,62.55226;48.19455,-34.72244
-24.06294,60.24343;100.4786,-40.35952
-15.99994,57.70495;151.0485,-43.28652
-7.654129,53.61939;133.3017,-80.25415
-1.954279,47.77363;76.2932,-105.8634
1.205676,39.72853;41.1343,-147.9569
4.532684,34.09664;86.50098,-127.4711
9.764946,27.77637;87.57676,-94.54585
13.62375,24.35376;52.94759,-38.71984
16.41097,23.31791;43.31301,-6.80936
19.06779,25.02938;44.83419,45.81207
19.77741,29.02092;-4.276433,76.71865
17.96638,31.71602;-42.84646,29.42909
17.96638,31.71602;-42.84646,29.42909
1.71383,44.25282;0,0
0.2169838,45.98736;-37.20919,43.11805
-0.317481,47.25526;4.832207,10.4003
1.234203,48.18891;52.65427,30.83395
3.749004,48.00135;36.7157,-19.68402
5.079084,44.71867;15.1111,-71.90426
5.944895,39.53323;14.11027,-93.59595
6.532533,35.48156;7.688494,-54.81356
4.736858,31.77755;-48.33623,-65.19782
1.771989,28.83722;-49.97095,-41.12751
0.4699904,27.20587;-7.923666,-20.37961
1.705241,27.59814;34.58806,19.58948
2.01923,30.30943;-9.062726,57.77169
0.1384281,31.75183;-42.24751,7.628944
-3.195448,30.76066;-74.82058,-30.15495
-8.534537,31.08938;-95.98571,22.89741
-12.74918,34.32009;-57.70889,69.00439
-14.39188,38.79992;-12.57773,77.47809
-13.23196,41.89446;34.91773,38.96729
-9.000508,43.54245;88.01101,21.88763
-2.458452,43.03334;119.3966,-23.34109
5.402465,39.60839;136.7715,-73.6192
12.17032,33.33706;101.1146,-119.6833
15.94774,25.82902;44.3143,-127.8453
19.81708,20.35954;83.61866,-81.86891
23.08778,17.4095;40.29009,-33.19073
23.87808,17.26333;0.01817228,12.45834
25.08811,19.92789;30.05112,60.12537
25.94771,25.43192;6.657092,107.2763
26.0519,30.61072;-0.6673546,76.10266
25.7789,35.69372;-6.450846,88.99844
27.20245,41.89289;38.4969,110.4014
31.41557,47.94393;85.77186,96.23747
29.36083,51.8303;-40.67218,49.41537
25.48421,52.94892;-76.3784,3.641031
18.88502,52.67985;-126.5149,-8.460865
12.66888,50.13106;-92.4473,-59.13425
9.279675,45.5461;-43.76584,-90.85339
5.122559,41.34529;-81.80514,-59.87198
-0.7469919,36.50526;-105.7264,-90.89137
-4.795127,31.08078;-48.78501,-90.20246
-5.87423,26.96268;-2.947071,-58.11833
-4.117243,24.29014;45.04808,-37.97846
-2.919313,23.1243;7.735976,-10.37137
-4.180388,20.99449;-35.09965,-47.87908
-3.965248,17.64408;22.46926,-59.80348
-4.290415,15.88301;-18.9873,-14.52733
-6.812624,16.84595;-53.40391,30.99483
-11.23372,20.48947;-83.67791,75.32189
-14.34097,26.38485;-36.22589,109.5295
-14.79231,34.31614;6.511837,143.3507
-12.79401,44.20212;46.43036,175.3233
-9.352998,52.09175;62.70588,110.0848
-8.385468,53.95031;48.39587,92.9654
30.31927,7.471971;0,0
28.67313,9.065293;-40.9233,39.61027
24.35059,12.52811;-87.33425,66.6284
17.39349,17.61198;-130.0228,93.63958
10.55517,22.60375;-106.1589,78.11565
5.377614,26.65755;-76.61103,62.42885
1.639253,30.78007;-55.3527,71.82006
-0.9676964,35.38233;-37.66214,79.14429
-1.114044,38.7744;14.75056,45.51896
1.105351,43.23516;47.90524,88.53149
4.186062,47.69651;53.0555,67.47009
7.601021,49.28183;58.83719,6.396898
12.42672,48.17435;94.91589,-31.05409
16.06841,44.94437;44.01052,-64.99572
16.44972,40.76439;-12.02968,-72.01138
14.12787,38.09866;-51.75216,-31.00713
11.43908,38.26661;-41.4808,19.28708
8.70005,40.1786;-47.75521,38.05283
5.1349,43.46137;-65.18551,62.91439
1.218345,47.55804;-65.36768,70.94921
-1.772396,50.74302;-42.28333,44.3769
-1.88984,53.35022;17.70326,43.05769
0.8353271,54.27222;59.02702,1.89523
5.399428,52.39879;84.48969,-47.44268
10.62004,49.87928;134.3933,-59.21187
16.40955,47.7694;77.97856,-23.41446
18.5961,46.26582;16.18536,-25.85219
17.44299,43.80364;-36.52544,-48.55726
13.3351,39.89082;-84.15209,-73.42869
7.076324,34.99658;-114.2388,-85.6039
0.8310527,28.12326;-99.17251,-128.7751
-6.044553,18.72614;-122.1895,-170.3123
-11.39579,10.54286;-73.05818,-119.8172
-13.93808,5.291468;-27.37866,-71.75215
-13.8894,2.84087;14.54653,-25.77287
-11.50549,3.063394;52.13255,18.07473
-7.122881,5.937725;83.35391,62.54158
-2.974959,11.75019;62.22623,113.7314
-1.008695,19.94578;18.38109,147.8514
-2.042446,29.43487;-34.65967,163.2657
-5.652635,36.98303;-91.58226,167.6459
-9.299563,48.2773;-45.73079,198.3833
-10.32643,58.00451;-3.117159,144.4162
-9.283648,64.32775;27.40574,86.33418
-8.171966,67.08695;14.18721,26.28566
-8.782412,66.77481;-22.03874,-20.44131
-10.47911,63.35724;-31.38398,-74.90125
-10.7137,57.36235;9.516129,-112.2344
-8.00947,50.30914;62.48777,-120.2315
-2.355098,44.44607;109.8195,-86.75646
4.933356,41.28036;127.2332,-36.15984
10.67063,40.9122;80.19718,8.538114
13.67365,43.07604;35.37342,49.53293
14.09723,47.57309;-6.760152,87.46453
12.14257,52.1299;-45.21814,70.37937
8.491033,54.37418;-68.54951,21.33001
3.239536,53.70384;-96.89223,-27.06653
-0.8618327,50.35606;-54.45754,-69.87574
-5.699102,45.89475;-93.47923,-76.6066
-12.77398,41.38841;-129.9375,-74.41633
-19.88838,34.82519;-113.0703,-126.5496
-27.56836,25.55816;-135.3604,-168.1704
-32.41603,21.69085;-135.3384,-98.01019
-29.19859,15.67814;44.72051,-101.3412
-26.79836,8.988115;37.72268,-116.539
-23.41894,4.269926;65.44238,-60.1452
-21.51171,2.511713;15.28093,0.5856293
-21.55031,2.246236;-6.237405,-12.68823
10.32958,31.69837;0,0
8.497161,36.53646;0,0
6.843589,34.95115;-41.11177,-39.4146
2.605463,33.93843;-85.15413,-5.897345
-2.27263,34.95595;-79.48651,28.14036
-5.989832,37.13003;-53.4339,40.21368
-7.558331,41.19368;-12.84464,81.2496
-6.894729,46.67936;22.7528,96.48563
-4.914624,51.54872;38.03102,73.71564
-1.006543,57.19999;78.44436,104.2809
5.095757,62.49285;113.1383,80.40459
9.693842,64.42358;107.817,29.92253
16.55198,63.92799;117.5503,-26.93561
24.37249,60.32977;136.6796,-76.16677
31.85695,53.67346;118.9581,-128.0036
29.01752,45.1277;-49.22098,-149.5466
24.53148,38.15198;-87.29445,-100.0287
18.22417,34.32553;-113.8963,-46.07754
10.68422,33.76522;-131.4983,8.623763
2.095394,36.32964;-148.927,59.45423
-5.458799,41.83181;-114.6949,107.5209
-10.22775,49.43832;-62.29185,136.2517
-11.50054,57.47073;-1.129549,132.7714
-9.371892,65.83215;53.40471,142.6573
-4.335294,68.20443;98.84939,10.2213
-1.542293,68.28301;48.72199,14.15079
1.241373,65.86543;45.3205,-52.99245
5.657866,61.45866;87.51316,-83.52159
8.616447,57.37279;30.65617,-60.58035
8.587884,55.38129;-15.63094,-19.85534
6.049166,55.85045;-55.45794,21.32302
2.163002,58.54051;-69.401,56.37645
-2.363908,61.5101;-78.46395,46.16862
-4.825692,63.03856;-22.75094,15.36722
-4.171149,62.69279;27.2357,-15.99193
-0.5256415,60.80265;77.24457,-39.13715
5.844237,59.81527;120.399,-5.383286
11.04661,57.94264;70.27898,-43.84864
13.36292,54.71037;23.16914,-58.80872
15.19447,52.14697;34.14513,-34.91814
15.68468,50.45584;-4.456914,-24.93489
16.01169,47.16871;10.29533,-69.48318
14.97369,44.83262;-30.76767,-24.07103
11.59397,45.09222;-68.92351,18.18887
6.032944,47.79348;-104.3962,58.18448
1.901855,49.74341;-51.49501,19.95509
-1.682659,48.66981;-63.86494,-36.39742
-6.216701,45.07497;-88.21157,-76.3223
-13.50927,40.86468;-137.9266,-67.20931
-20.14024,38.93007;-97.14758,-15.15584
-24.78019,37.78184;-67.69614,-21.09319
-26.98965,34.97753;-21.79803,-59.31318
-27.10754,29.56564;7.723903,-105.4011
-25.0205,25.14757;48.027,-58.15657
-20.62977,23.44126;85.54832,-13.95227
-13.88922,24.0495;125.5439,21.92446
-5.181273,26.93755;154.8029,60.98517
